Step,conv_train,conv_test,ffconv0.1_train,ffconv0.1_test,sfconv0.1_train,sfconv0.1_test
129,0.045455053,0.179506063,0.047642916,0.263352126,0.038692802,0.099938542
130,0.044940814,0.144045651,0.049479872,0.129496336,0.035712913,0.066698849
131,0.041828558,0.147565305,0.059696272,0.140672147,0.032834277,0.09853524
132,0.041606992,0.181399345,0.048106119,0.108174264,0.034663394,0.13040489
133,0.043014213,0.104649901,0.045702174,0.11862573,0.033416003,0.103297055
134,0.041247308,0.116963178,0.0443694,0.09732005,0.031400248,0.080002755
135,0.041637212,0.09551686,0.047413662,0.110250264,0.028957337,0.072328389
136,0.040813521,0.140297353,0.065681234,0.108094394,0.031338364,0.063052177
137,0.045962095,0.090457231,0.070734426,0.156374633,0.03055349,0.059519768
138,0.040837899,0.107359946,0.047318324,0.11682117,0.031557888,0.067546099
139,0.041627362,0.098897547,0.059829086,0.083793432,0.028978735,0.066704869
140,0.043908998,0.078154594,0.044613197,0.072231919,0.031883225,0.059632629
141,0.046057805,0.111072004,0.042256951,0.107646883,0.031892404,0.072128117
142,0.041884303,0.106988609,0.042487338,0.190229684,0.031344071,0.061030596
143,0.04568094,0.145563096,0.042696893,0.089107722,0.028984666,0.065039605
144,0.043410748,0.144412637,0.040065214,0.08584854,0.02783224,0.063782632
145,0.043022484,0.120134532,0.037596479,0.158845872,0.027358517,0.063676566
146,0.04930836,0.146076888,0.04087162,0.212261885,0.026448458,0.090592444
147,0.043761402,0.099833548,0.036264315,0.330498129,0.028083146,0.075727969
148,0.046371385,0.112056583,0.03997995,0.148984402,0.028973415,0.063711852
149,0.049891606,0.166937023,0.038924247,0.111464798,0.029597178,0.058732092
150,0.043192968,0.287957102,0.037589177,0.165540725,0.030645058,0.064387321
151,0.044532225,0.106689334,0.041330352,0.14503485,0.029462144,0.064479887
152,0.044440091,0.116691083,0.039416611,0.13726455,0.029021591,0.06428811
153,0.056831077,0.428443789,0.036897182,0.087911636,0.029728904,0.072474718
154,0.067656487,0.289339334,0.033964843,0.127162188,0.028015792,0.06552431
155,0.071133777,0.106048852,0.037613094,0.144394457,0.029709518,0.083165586
156,0.068476453,0.152879983,0.033236191,0.201261848,0.028915346,0.064316601
157,0.06000708,0.328176737,0.035178781,0.195104688,0.026537478,0.076864988
158,0.059022471,0.120423764,0.034162313,0.206970394,0.027079731,0.057499528
159,0.058043405,0.126386881,0.033149108,0.174479932,0.029677361,0.065599084
160,0.056799725,0.117010057,0.032578617,0.15297392,0.029156417,0.06968686
161,0.055533364,0.211518347,0.033070236,0.130489141,0.029828727,0.074943572
162,0.05065918,0.116665095,0.031435072,0.126830608,0.028119922,0.072324216
163,0.050969705,0.251176417,0.031857803,0.153487265,0.028617263,0.07730335
164,0.051326662,0.138996392,0.031662688,0.170779437,0.026895955,0.077697814
165,0.054265648,0.18708691,0.030847415,0.175098479,0.026742399,0.101402342
166,0.063496441,0.181558192,0.030575156,0.134987712,0.028664038,0.068848997
167,0.056673437,0.380781114,0.031370819,0.151543617,0.031663522,0.074464232
168,0.050018162,0.108522683,0.030985162,0.095670998,0.031181023,0.087265819
169,0.047882795,0.173863649,0.032552153,0.231760561,0.028991297,0.064833909
170,0.044232264,0.230076879,0.032902211,0.129994214,0.031685919,0.074014932
171,0.044798583,0.147084713,0.036785364,0.168483019,0.029601604,0.078662157
172,0.042938918,0.131273806,0.040605277,0.088341594,0.034072474,0.086296856
173,0.046252251,0.308418959,0.042105213,0.087848902,0.030162081,0.078432262
174,0.050512746,0.11860463,0.038894475,0.06669113,0.029162809,0.074072063
175,0.047111824,0.111043185,0.042156279,0.154933065,0.028963462,0.098202676
176,0.04587087,0.161659598,0.049705982,0.372988462,0.030015588,0.107907891
177,0.048952878,0.127381623,0.046080291,0.168827832,0.0304427,0.085779995
178,0.047052354,0.114115655,0.046017796,0.136633664,0.027176946,0.06419751
179,0.040735498,0.122134745,0.043541849,0.126827776,0.027721584,0.061686009
180,0.044391006,0.129112095,0.03691183,0.09411484,0.025209025,0.071246773
181,0.041647494,0.157194883,0.041766614,0.118390501,0.023912013,0.075505614
182,0.044900477,0.132217228,0.05061692,0.428930014,0.024277776,0.070488751
183,0.043059871,0.170712352,0.057833672,0.438850701,0.023046777,0.069089949
184,0.063457116,0.116002679,0.046169162,0.151208729,0.024046227,0.066873521
185,0.048388004,0.100470722,0.046553776,0.101703376,0.022380084,0.069254518
186,0.044314578,0.132594228,0.0620884,0.131232172,0.022971347,0.06894061
187,0.049112469,0.092746049,0.062957451,0.16707775,0.024133235,0.066871643
188,0.040850028,0.121048093,0.050313592,0.130562931,0.023732513,0.081155479
189,0.042208239,0.091676563,0.049752757,0.102259427,0.023415536,0.075319171
190,0.045020729,0.441118687,0.053178579,0.095264465,0.025502786,0.076982111
191,0.044708654,0.107166499,0.046380848,0.18552509,0.025262594,0.087559581
192,0.042364419,0.129635394,0.045450389,0.093551666,0.027100399,0.078648627
193,0.041211769,0.103612632,0.041426599,0.077299863,0.027436763,0.088346273
194,0.042741179,0.100284934,0.040542781,0.093510181,0.024064258,0.071031153
195,0.04210484,0.114783347,0.035920471,0.209290624,0.023941621,0.081758887
196,0.041947335,0.102121651,0.037710398,0.193953604,0.022492364,0.071934104
197,0.037725151,0.134875506,0.034602627,0.350665003,0.021094292,0.07242617
198,0.038710192,0.125465453,0.033094987,0.127868056,0.022360563,0.066197336
199,0.038701013,0.188895166,0.03224124,0.12041074,0.020279065,0.070402443
200,0.041303948,0.12677297,0.029843107,0.094834238,0.02117002,0.072961956
